Segment,Threshold_1_Length,Threshold_10_Length,Threshold_100_Length,Split_10_Length,Split_100_Length,Split_1000_Length,Handle_Lengths,Quadrangle_Length,Handle_Area,Quadrangle_Area,,% Difference between Threshold_1 and Handle_Lengths
1000_1000__2000_1000,1000,1000,1000,1000,999.702,999.997002,0,1000,0,0,,0
1000_1000__1800_1000,1000,1000,1000,1000,993.8214,999.398201,200,1000,0,0,,0.2
1200_1000__2000_1000,1000,1000,1000,1000,999.7614,999.997601,200,1000,0,0,,0.2
1000_1000__1600_1000,1000,1000,1000,1000,987.9408,998.799401,400,1000,0,0,,0.4
1200_1000__1800_1000,1000,1000,1000,1000,993.8808,999.398801,400,1000,0,0,,0.4
1400_1000__2000_1000,1000,1000,1000,1000,999.8208,999.998201,400,1000,0,0,,0.4
1000_1000__1500_1000,1000,1000,1000,1000,985.0005,998.500001,500,1000,0,0,,0.5
1500_1000__2000_1000,1000,1000,1000,1000,999.8505,999.998501,500,1000,0,0,,0.5
1000_1000__1400_1000,1000,1000,1000,1000,982.0602,998.2006,600,1000,0,0,,0.6
1200_1000__1600_1000,1000,1000,1000,1000,988.0002,998.8,600,1000,0,0,,0.6
1400_1000__1800_1000,1000,1000,1000,1000,993.9402,999.3994,600,1000,0,0,,0.6
1600_1000__2000_1000,1000,1000,1000,1000,999.8802,999.9988,600,1000,0,0,,0.6
1000_1000__1200_1000,1000,1000,1000,1000,976.1796,997.6018,800,1000,0,0,,0.8
1200_1000__1400_1000,1000,1000,1000,1000,982.1196,998.2012,800,1000,0,0,,0.8
1400_1000__1600_1000,1000,1000,1000,1000,988.0596,998.8006,800,1000,0,0,,0.8
1600_1000__1800_1000,1000,1000,1000,1000,993.9996,999.4,800,1000,0,0,,0.8
1800_1000__2000_1000,1000,1000,1000,1000,999.9396,999.9994,800,1000,0,0,,0.8
1000_1000__1000_1000,1000,1000,1000,1000,970.299,997.002999,1000,1000,0,0,,1
1500_1000__1500_1000,1000,1000,1000,1000,985.149,998.501499,1000,1000,0,0,,1
2000_1000__2000_1000,1000,1000,1000,1000,999.999,999.999999,1000,1000,0,0,,1
1200_1000__1200_1000,1000,1000,1000,1000,976.239,997.602399,1000,1000,0,0,,1
1400_1000__1400_1000,1000,1000,1000,1000,982.179,998.201799,1000,1000,0,0,,1
1600_1000__1600_1000,1000,1000,1000,1000,988.119,998.801199,1000,1000,0,0,,1
1800_1000__1800_1000,1000,1000,1000,1000,994.059,999.400599,1000,1000,0,0,,1
1200_1000__1400_1200,1019.72685,1019.723701,1019.493436,1019.353964,1000.900519,1017.830983,832.455532,1115.298245,60000,100000,,0.816351489
1600_1200__1800_1000,1019.72685,1019.723701,1019.493436,1019.353964,1013.722422,1019.126832,832.455532,1115.298245,60000,100000,,0.816351489
1400_1000__1400_1200,1019.854122,1019.852278,1019.702001,1019.495216,1001.084364,1017.958827,1032.455532,1232.455532,60000,60000,,0.987794719
1200_1000__1200_1200,1020.532899,1020.528213,1020.181427,1020.135979,996.051069,1018.06165,1024.621125,1224.621125,80000,80000,,0.996010012
1000_1000__1400_1200,1021.386319,1021.384856,1021.235683,1021.060341,1002.504031,1019.489887,632.455532,1079.669128,60000,140000,,0.619212848
1600_1200__2000_1000,1021.386319,1021.384856,1021.235683,1021.060341,1021.249346,1021.384964,632.455532,1079.669128,60000,140000,,0.619212848
1200_1000__1600_1200,1021.399328,1021.396353,1021.146611,1020.926994,1008.031321,1020.058192,647.213595,1094.427191,40000,120000,,0.633653829
1400_1200__1800_1000,1021.399328,1021.396353,1021.146611,1020.926994,1015.334488,1020.798697,647.213595,1094.427191,40000,120000,,0.633653829
1000_1000__1600_1200,1021.919582,1021.918542,1021.734429,1021.459551,1008.498342,1020.577908,447.213595,1079.669128,40000,160000,,0.437621123
1400_1200__2000_1000,1021.919582,1021.918542,1021.734429,1021.459551,1021.726176,1021.917653,447.213595,1079.669128,40000,160000,,0.437621123
1400_1000__1600_1200,1021.992223,1021.989703,1021.821943,1021.556722,1008.67794,1020.651635,847.213595,1130.056308,40000,80000,,0.828982429
1400_1200__1600_1000,1021.992223,1021.989703,1021.821943,1021.556722,1010.047336,1020.792803,847.213595,1130.056308,40000,80000,,0.828982429
1600_1000__1600_1200,1023.148257,1023.146076,1022.815127,1022.740132,1009.887517,1021.808213,1047.213595,1247.213595,40000,40000,,0.977019647
1000_1000__1200_1200,1024.48349,1024.476956,1024.129927,1024.143778,999.944611,1022.011726,824.621125,1107.463838,80000,120000,,0.804914021
1800_1200__2000_1000,1024.48349,1024.476956,1024.129927,1024.143778,1024.395441,1024.482705,824.621125,1107.463838,80000,120000,,0.804914021
1000_1000__1800_1200,1026.671559,1026.665855,1026.280979,1025.689158,1018.131878,1025.822576,282.842712,1107.463838,20000,180000,,0.275494835
1200_1200__2000_1000,1026.671559,1026.665855,1026.280979,1025.689158,1026.41574,1026.669058,282.842712,1107.463838,20000,180000,,0.275494835
1200_1000__1800_1200,1027.240007,1027.234228,1026.831584,1026.331793,1018.74408,1026.391462,482.842712,1115.298245,20000,140000,,0.47003885
1200_1200__1800_1000,1027.240007,1027.234228,1026.831584,1026.331793,1021.111409,1026.638792,482.842712,1115.298245,20000,140000,,0.47003885
1200_1200__1600_1000,1028.749002,1028.744227,1028.43909,1027.956053,1016.741187,1027.548993,682.842712,1130.056308,20000,100000,,0.663760267
1400_1000__1800_1200,1028.749002,1028.744227,1028.43909,1027.956053,1020.297045,1027.900888,682.842712,1130.056308,20000,100000,,0.663760267
1200_1200__1400_1000,1030.98794,1030.984093,1030.031315,1030.303786,1013.100671,1029.189132,882.842712,1165.685425,20000,60000,,0.856307506
1600_1000__1800_1200,1030.98794,1030.984093,1030.031315,1030.303786,1022.579607,1030.140252,882.842712,1165.685425,20000,60000,,0.856307506
1800_1000__1800_1200,1034.223721,1034.212157,1033.387005,1033.628043,1025.858622,1033.376505,1082.842712,1282.842712,20000,20000,,0.955100597
1000_1000__1000_1200,1035.793856,1035.740295,1034.713183,1035.208396,1005.510958,1032.738205,1019.803903,1219.803903,100000,100000,,0.984562611
1000_1000__2000_1200,1043.06886,1043.010818,1038.69307,1039.926791,1037.150492,1042.470026,200,1219.803903,0,200000,,0.191741895
1000_1200__2000_1000,1043.06886,1043.010818,1038.69307,1039.926791,1042.734776,1043.065777,200,1219.803903,0,200000,,0.191741895
800_1000__2000_1000,1043.457031,1043.457031,1000,1041.2,1044.545,1044.966774,200,1400,0,0,,0.191670566
1000_1000__2200_1000,1043.457031,1043.457031,1000,1041.2,1039.3198,1044.374569,200,1400,0,0,,0.191670566
1000_1200__1800_1000,1046.038608,1045.986558,1041.935866,1043.345916,1039.833639,1045.436791,400,1224.621125,0,160000,,0.382395064
1200_1000__2000_1200,1046.038608,1045.986558,1041.935866,1043.345916,1040.127086,1045.439785,400,1224.621125,0,160000,,0.382395064
1000_1200__1600_1000,1050.427454,1050.38124,1047.113028,1048.209513,1038.346596,1049.227034,600,1232.455532,0,120000,,0.571196038
1400_1000__2000_1200,1050.427454,1050.38124,1047.113028,1048.209513,1044.522612,1049.82883,600,1232.455532,0,120000,,0.571196038
1400_1200__1400_1200,1051.345924,1051.344063,1051.022927,1051.034425,1032.557956,1049.450451,1079.669128,1079.669128,100000,100000,,0.973766774
1600_1200__1600_1200,1051.345924,1051.344063,1051.022927,1051.034425,1038.059696,1050.005621,1079.669128,1079.669128,100000,100000,,0.973766774
800_1000__1800_1000,1052.514648,1047.851563,1000,1052,1046.358,1051.993602,400,1400,0,0,,0.380042217
1200_1000__2200_1000,1052.514648,1047.851563,1000,1052,1046.954,1051.999598,400,1400,0,0,,0.380042217
1400_1200__1600_1200,1053.673079,1053.670776,1053.521387,1053.284513,1040.332931,1052.332234,894.427191,1094.427191,80000,80000,,0.848865942
1000_1200__1400_1000,1056.54975,1056.510014,1053.847848,1054.758969,1038.592554,1054.750685,800,1247.213595,0,80000,,0.757181571
1600_1000__2000_1200,1056.54975,1056.510014,1053.847848,1054.758969,1050.650632,1055.951283,800,1247.213595,0,80000,,0.757181571
1200_1200__1600_1200,1061.949112,1061.945116,1061.678723,1061.257024,1048.552733,1060.607719,730.056308,1130.056308,60000,60000,,0.68746826
1400_1200__1800_1200,1061.949112,1061.945116,1061.678723,1061.257024,1053.456673,1061.100563,730.056308,1130.056308,60000,60000,,0.68746826
1200_1200__1400_1200,1062.05849,1062.055431,1061.571761,1061.530364,1043.21202,1060.162444,915.298245,1115.298245,80000,80000,,0.861815289
1600_1200__1800_1200,1062.05849,1062.055431,1061.571761,1061.530364,1053.610014,1061.210378,915.298245,1115.298245,80000,80000,,0.861815289
800_1000__1600_1000,1062.072754,1061.71875,1000,1062.8,1051.0082,1061.941995,600,1400,0,0,,0.56493305
1400_1000__2200_1000,1062.072754,1061.71875,1000,1062.8,1057.4254,1062.546192,600,1400,0,0,,0.56493305
1000_1200__1200_1000,1065.483147,1065.450234,1056.959584,1064.047735,1041.648837,1063.085294,1000,1282.842712,0,40000,,0.938541358
1800_1000__2000_1200,1065.483147,1065.450234,1056.959584,1064.047735,1059.588401,1064.884693,1000,1282.842712,0,40000,,0.938541358
1200_1200__1200_1200,1066.158525,1066.150339,1065.513319,1065.683415,1041.661593,1063.687131,1107.463838,1107.463838,100000,100000,,0.962702788
1800_1200__1800_1200,1066.158525,1066.150339,1065.513319,1065.683415,1057.752675,1065.310841,1107.463838,1107.463838,100000,100000,,0.962702788
1200_1200__1800_1200,1067.559211,1067.552266,1067.111335,1066.418546,1059.0197,1066.71022,565.685425,1165.685425,40000,40000,,0.529886698
1200_1000__1400_1400,1075.625571,1075.614842,1074.766667,1074.282819,1054.21038,1073.464504,921.110255,1368.323851,120000,200000,,0.856348417
1600_1400__1800_1000,1075.625571,1075.614842,1074.766667,1074.282819,1069.610545,1075.025505,921.110255,1368.323851,120000,200000,,0.856348417
1400_1000__1400_1400,1076.069388,1076.062664,1075.599225,1074.767141,1054.70427,1073.908833,1121.110255,1521.110255,120000,120000,,0.959824766
1200_1000__1200_1400,1078.062506,1078.046723,1076.841661,1076.641735,1051.535879,1075.382395,1094.427191,1494.427191,160000,160000,,0.98504726
800_1000__2200_1000,1078.125,1025,1025,1060.8,1072.7872,1077.865763,400,1800,0,0,,0.371014493
800_1000__1400_1000,1078.125,1078.125,1025,1073.6,1060.396,1076.660967,800,1400,0,0,,0.742028986
1600_1000__2200_1000,1078.125,1078.125,1025,1073.6,1072.6344,1077.863366,800,1400,0,0,,0.742028986
2000_1000__2000_1200,1079.860634,1079.759013,1076.240208,1078.618979,1073.969078,1079.263079,1200,1400,0,0,,0.899883862
1200_1000__1600_1400,1080.527567,1080.518766,1079.662281,1078.980902,1063.709609,1078.832107,765.685425,1331.37085,80000,240000,,0.708621833
1400_1400__1800_1000,1080.527567,1080.518766,1079.662281,1078.980902,1074.451056,1079.926866,765.685425,1331.37085,80000,240000,,0.708621833
1000_1000__1400_1400,1080.969511,1080.965362,1080.491321,1079.835509,1059.506794,1078.80794,721.110255,1286.79568,120000,280000,,0.667095832
1600_1400__2000_1000,1080.969511,1080.965362,1080.491321,1079.835509,1080.78947,1080.967746,721.110255,1286.79568,120000,280000,,0.667095832
800_1000__1800_1200,1081.055829,1078.302398,1030.164085,1077.57545,1072.444587,1080.230633,482.842712,1502.646615,20000,220000,,0.446639941
1200_1200__2200_1000,1081.055829,1078.302398,1030.164085,1077.57545,1075.375144,1080.48361,482.842712,1502.646615,20000,220000,,0.446639941
1400_1000__1600_1400,1082.405942,1082.398255,1081.83757,1080.952354,1065.631416,1080.710937,965.685425,1412.89902,80000,160000,,0.892165672
1400_1400__1600_1000,1082.405942,1082.398255,1081.83757,1080.952354,1070.450466,1081.206472,965.685425,1412.89902,80000,160000,,0.892165672
