Segment,Handles_or_Base_Length,Control_Polygon_Perimeter_Average,Perimeter_Average_Error,Threshold_1_Length
1000_1000__1000_1000,1000,1000,0,1000
1000_1000__1500_1000,1000,1000,0,1000
1000_1000__2000_1000,1000,1000,0,1000
1500_1000__1000_1000,1500,1500,1000,1000
1500_1000__1500_1000,1000,1000,0,1000
1500_1000__2000_1000,1000,1000,0,1000
2000_1000__1000_1000,2000,2000,2000,1000
2000_1000__1500_1000,1500,1500,1000,1000
2000_1000__2000_1000,1000,1000,0,1000
1500_1000__500_1000,2000,2000,2000,1062.5
2500_1000__1500_1000,2000,2000,2000,1062.5
1276_1276__1724_1276,1000,1114.322943,228.6458864,1110.789113
1500_500__1500_1000,1207.106781,1353.553391,707.1067812,1120.243776
1500_1000__1500_500,1207.106781,1353.553391,707.1067812,1120.243776
1500_1000__1500_1500,1207.106781,1353.553391,707.1067812,1120.243776
1500_1500__1500_1000,1207.106781,1353.553391,707.1067812,1120.243776
1000_1000__1500_500,1000,1207.106781,414.2135624,1121.743658
1000_1000__1500_1500,1000,1207.106781,414.2135624,1121.743658
1500_500__2000_1000,1000,1207.106781,414.2135624,1121.743658
1500_1500__2000_1000,1000,1207.106781,414.2135624,1121.743658
1500_1000__1000_500,1618.033989,1662.570385,1325.14077,1129.854372
1500_1000__1000_1500,1618.033989,1662.570385,1325.14077,1129.854372
2000_500__1500_1000,1618.033989,1662.570385,1325.14077,1129.854372
2000_1500__1500_1000,1618.033989,1662.570385,1325.14077,1129.854372
1500_500__1000_1000,1707.106781,1707.106781,1414.213562,1141.980613
1500_1500__1000_1000,1707.106781,1707.106781,1414.213562,1141.980613
2000_1000__1500_500,1707.106781,1707.106781,1414.213562,1141.980613
2000_1000__1500_1500,1707.106781,1707.106781,1414.213562,1141.980613
1000_1000__1000_500,1118.033989,1309.016994,618.0339887,1156.472933
1000_1000__1000_1500,1118.033989,1309.016994,618.0339887,1156.472933
2000_500__2000_1000,1118.033989,1309.016994,618.0339887,1156.472933
2000_1500__2000_1000,1118.033989,1309.016994,618.0339887,1156.472933
1000_1000__500_1000,1500,1500,1000,1159.881592
2500_1000__2000_1000,1500,1500,1000,1159.881592
2000_500__1000_1000,2118.033989,2118.033989,2236.067977,1165.05429
2000_1000__1000_500,2118.033989,2118.033989,2236.067977,1165.05429
2000_1000__1000_1500,2118.033989,2118.033989,2236.067977,1165.05429
2000_1500__1000_1000,2118.033989,2118.033989,2236.067977,1165.05429
1000_500__2000_1000,1000,1309.016994,618.0339887,1169.583032
1000_1000__2000_500,1000,1309.016994,618.0339887,1169.583032
1000_1000__2000_1500,1000,1309.016994,618.0339887,1169.583032
1000_1500__2000_1000,1000,1309.016994,618.0339887,1169.583032
2000_1000__500_1000,2500,2500,3000,1169.677734
2500_1000__1000_1000,2500,2500,3000,1169.677734
1500_500__1500_1500,1414.213562,1707.106781,1414.213562,1185.494341
1500_1500__1500_500,1414.213562,1707.106781,1414.213562,1185.494341
1000_500__1500_1000,1000,1353.553391,707.1067812,1190.136028
1000_1500__1500_1000,1000,1353.553391,707.1067812,1190.136028
1500_1000__2000_500,1000,1353.553391,707.1067812,1190.136028
1500_1000__2000_1500,1000,1353.553391,707.1067812,1190.136028
500_1000__2000_1000,1000,1500,1000,1202.484131
1000_1000__2500_1000,1000,1500,1000,1202.484131
1500_500__1000_1500,1825.14077,1971.587379,1943.174759,1217.533197
1500_1500__1000_500,1825.14077,1971.587379,1943.174759,1217.533197
2000_500__1500_1500,1825.14077,1971.587379,1943.174759,1217.533197
2000_1500__1500_500,1825.14077,1971.587379,1943.174759,1217.533197
1000_500__1500_1500,1207.106781,1662.570385,1325.14077,1226.788116
1000_1500__1500_500,1207.106781,1662.570385,1325.14077,1226.788116
1500_500__2000_1500,1207.106781,1662.570385,1325.14077,1226.788116
1500_1500__2000_500,1207.106781,1662.570385,1325.14077,1226.788116
1500_1000__500_500,2081.13883,2099.586409,2199.172819,1236.792629
1500_1000__500_1500,2081.13883,2099.586409,2199.172819,1236.792629
2500_500__1500_1000,2081.13883,2099.586409,2199.172819,1236.792629
2500_1500__1500_1000,2081.13883,2099.586409,2199.172819,1236.792629
1000_500__1000_1000,1500,1500,1000,1237.393185
1000_1500__1000_1000,1500,1500,1000,1237.393185
2000_1000__2000_500,1500,1500,1000,1237.393185
2000_1000__2000_1500,1500,1500,1000,1237.393185
1000_500__2000_1500,1000,1707.106781,1414.213562,1250.892876
1000_1500__2000_500,1000,1707.106781,1414.213562,1250.892876
1500_500__500_1000,2207.106781,2162.570385,2325.14077,1257.141627
1500_1500__500_1000,2207.106781,2162.570385,2325.14077,1257.141627
2500_1000__1500_500,2207.106781,2162.570385,2325.14077,1257.141627
2500_1000__1500_1500,2207.106781,2162.570385,2325.14077,1257.141627
2000_500__1000_1500,2236.067977,2325.14077,2650.28154,1268.12069
2000_1500__1000_500,2236.067977,2325.14077,2650.28154,1268.12069
1000_500__1000_1500,1618.033989,1809.016994,1618.033989,1270.822241
1000_1500__1000_500,1618.033989,1809.016994,1618.033989,1270.822241
2000_500__2000_1500,1618.033989,1809.016994,1618.033989,1270.822241
2000_1500__2000_500,1618.033989,1809.016994,1618.033989,1270.822241
500_1000__1500_1000,1000,1500,1000,1272.460938
1500_1000__2500_1000,1000,1500,1000,1272.460938
2000_500__1000_500,2236.067977,2118.033989,2236.067977,1272.54198
2000_1500__1000_1500,2236.067977,2118.033989,2236.067977,1272.54198
1500_500__1500_500,1414.213562,1207.106781,414.2135624,1274.307433
1500_1500__1500_1500,1414.213562,1207.106781,414.2135624,1274.307433
1500_500__1000_500,1825.14077,1662.570385,1325.14077,1278.995238
1500_1500__1000_1500,1825.14077,1662.570385,1325.14077,1278.995238
2000_500__1500_500,1825.14077,1662.570385,1325.14077,1278.995238
2000_1500__1500_1500,1825.14077,1662.570385,1325.14077,1278.995238
2000_1000__500_500,2581.13883,2581.13883,3162.27766,1310.882899
2000_1000__500_1500,2581.13883,2581.13883,3162.27766,1310.882899
2500_500__1000_1000,2581.13883,2581.13883,3162.27766,1310.882899
2500_1500__1000_1000,2581.13883,2581.13883,3162.27766,1310.882899
1000_1000__500_500,1581.13883,1644.122806,1288.245611,1315.530481
1000_1000__500_1500,1581.13883,1644.122806,1288.245611,1315.530481
2500_500__2000_1000,1581.13883,1644.122806,1288.245611,1315.530481
2500_1500__2000_1000,1581.13883,1644.122806,1288.245611,1315.530481
2000_500__500_1000,2618.033989,2599.586409,3199.172819,1318.914739
2000_1500__500_1000,2618.033989,2599.586409,3199.172819,1318.914739
2500_1000__1000_500,2618.033989,2599.586409,3199.172819,1318.914739
2500_1000__1000_1500,2618.033989,2599.586409,3199.172819,1318.914739
500_1000__2500_1000,1000,2000,2000,1323.532104
1500_500__500_1500,2288.245611,2351.229587,2702.459174,1332.374921
1500_1500__500_500,2288.245611,2351.229587,2702.459174,1332.374921
2500_500__1500_1500,2288.245611,2351.229587,2702.459174,1332.374921
2500_1500__1500_500,2288.245611,2351.229587,2702.459174,1332.374921
1500_1000__0_1000,2500,2500,3000,1344.696045
3000_1000__1500_1000,2500,2500,3000,1344.696045
500_500__2000_1000,1000,1644.122806,1288.245611,1352.130199
500_1500__2000_1000,1000,1644.122806,1288.245611,1352.130199
1000_1000__2500_500,1000,1644.122806,1288.245611,1352.130199
1000_1000__2500_1500,1000,1644.122806,1288.245611,1352.130199
1000_500__1500_500,1207.106781,1353.553391,707.1067812,1354.755116
1000_1500__1500_1500,1207.106781,1353.553391,707.1067812,1354.755116
1500_500__2000_500,1207.106781,1353.553391,707.1067812,1354.755116
1500_1500__2000_1500,1207.106781,1353.553391,707.1067812,1354.755116
500_1000__2000_500,1000,1790.569415,1581.13883,1369.582792
500_1000__2000_1500,1000,1790.569415,1581.13883,1369.582792
1000_500__2500_1000,1000,1790.569415,1581.13883,1369.582792
1000_1500__2500_1000,1000,1790.569415,1581.13883,1369.582792
2500_1000__500_1000,3000,3000,4000,1377.929688
1000_500__500_1000,2000,1853.553391,1707.106781,1383.461408
1000_1500__500_1000,2000,1853.553391,1707.106781,1383.461408
2500_1000__2000_500,2000,1853.553391,1707.106781,1383.461408
2500_1000__2000_1500,2000,1853.553391,1707.106781,1383.461408
1500_500__500_500,2288.245611,2144.122806,2288.245611,1385.410525
1500_1500__500_1500,2288.245611,2144.122806,2288.245611,1385.410525
2500_500__1500_500,2288.245611,2144.122806,2288.245611,1385.410525
2500_1500__1500_1500,2288.245611,2144.122806,2288.245611,1385.410525
500_1000__1000_1000,1500,1500,1000,1391.387939
2000_1000__2500_1000,1500,1500,1000,1391.387939
1000_500__2000_500,1000,1500,1000,1394.656781
1000_1500__2000_1500,1000,1500,1000,1394.656781
1000_500__1000_500,1618.033989,1309.016994,618.0339887,1396.775228
1000_1500__1000_1500,1618.033989,1309.016994,618.0339887,1396.775228
